[338, 732, 160];[35.97, 50.02, 66.0]
[775, 604, 65];[55.89, 4.03, 73.36]
[842, 255, 965];[24.13, 46.42, 54.53]
[781, 78, 244];[48.39, 40.6, 48.46]
[793, 17, 11];[34.02, 48.31, 89.61]
[464, 891, 469];[35.64, 75.44, 12.68]
[256, 413, 920];[49.97, 50.92, 48.52]
[867, 928, 705];[53.68, 43.73, 68.0]
[139, 29, 762];[69.2, 28.57, 70.58]
[797, 567, 945];[59.77, 72.48, 48.42]
[373, 802, 106];[53.44, 60.87, 48.47]
[6, 251, 66];[83.77, 55.58, 25.45]
[780, 30, 292];[76.03, 17.16, 8.34]
[303, 36, 128];[41.22, 45.13, 95.79]
[947, 17, 946];[71.11, 48.66, 76.26]
[842, 223, 783];[25.45, 69.16, 86.62]
[201, 447, 839];[68.27, 64.84, 5.31]
[149, 951, 787];[67.62, 50.6, 62.52]
[929, 313, 644];[44.09, 69.57, 65.05]
[29, 274, 554];[31.59, 67.12, 76.01]
[294, 327, 211];[62.01, 40.72, 70.73]
[351, 145, 18];[84.82, 57.24, 57.72]
[945, 602, 118];[64.06, 66.68, 39.21]
[304, 66, 35];[29.59, 36.02, 89.95]
[365, 138, 976];[37.04, 25.53, 38.46]
[133, 89, 533];[19.23, 18.1, 100.54]
[732, 94, 359];[57.96, 67.37, 62.83]
[87, 374, 839];[8.97, 102.58, -5.55]
[358, 859, 569];[67.4, 2.86, 50.15]
[53, 788, 917];[51.11, 32.54, 19.58]
[789, 777, 201];[78.0, 29.99, 50.0]
[556, 240, 223];[35.32, 50.01, 52.28]
[790, 418, 446];[11.16, 67.61, 64.07]
[891, 150, 110];[72.67, 21.83, 62.94]
[781, 454, 727];[47.57, 13.32, 54.26]
[18, 318, 156];[53.61, 57.8, 78.66]
[253, 893, 235];[49.12, 68.0, 44.02]
[301, 475, 235];[59.56, 13.85, 44.58]
[891, 292, 757];[74.26, 12.5, 48.27]
[798, 877, 427];[61.86, 38.97, 55.59]
[78, 929, 38];[36.3, 47.76, 60.26]
[786, 147, 142];[51.53, 39.95, 19.86]
[296, 116, 159];[56.73, 49.51, 91.95]
[100, 37, 362];[2.89, 70.09, 44.19]
[131, 320, 643];[17.0, 70.78, 24.54]
[53, 561, 841];[46.48, 61.21, 71.63]
[445, 34, 451];[62.56, 89.54, 22.62]
[150, 454, 412];[17.02, 5.55, 58.01]
[362, 165, 858];[40.64, 74.77, 59.69]
[885, 964, 279];[50.92, 58.8, 80.27]
[786, 760, 891];[39.69, 60.15, 57.61]
[11, 427, 454];[127.57, 56.06, 0.36]
[643, 316, 362];[13.97, 62.76, 45.44]
[533, 32, 892];[93.08, 70.41, 65.55]
[125, 454, 253];[40.71, 1.97, 55.83]
[775, 783, 251];[85.48, 83.91, 46.66]
[890, 931, 920];[57.33, 46.32, 38.67]
[274, 128, 363];[62.61, 99.06, 99.16]
[425, 396, 843];[67.9, 43.09, 74.33]
[859, 833, 841];[3.71, 101.5, 76.73]
[780, 149, 957];[80.01, 50.0, 74.67]
[556, 805, 337];[35.32, 50.11, 51.88]
[156, 475, 342];[78.49, 13.64, 70.26]
[445, 251, 874];[56.01, 66.36, 40.19]
[88, 454, 644];[0.01, 14.91, 65.48]
[372, 436, 883];[59.41, 66.36, 61.28]
[777, 795, 705];[31.5, 42.75, 68.54]
[871, 751, 146];[25.15, 63.71, 57.1]
[777, 732, 642];[32.96, 56.5, 32.81]
[105, 142, 178];[80.02, 22.28, 59.97]
[131, 104, 6];[22.35, 55.05, 77.01]
[32, 292, 431];[86.12, 13.72, 53.21]
[412, 798, 421];[75.92, 66.72, 34.53]
[36, 780, 889];[49.07, 79.91, 66.67]
[213, 211, 77];[35.47, 55.69, 54.88]
[556, 872, 780];[49.57, 42.53, 78.52]
[789, 896, 776];[79.69, 54.5, 49.3]
[801, 53, 261];[25.57, 55.3, 70.49]
[802, 405, 160];[66.54, 66.53, 63.18]
[84, 604, 26];[14.6, 10.97, 14.0]
[839, 320, 790];[28.43, 70.41, 32.98]
[843, 201, 865];[65.72, 61.5, 66.28]
[881, 831, 149];[66.4, 64.34, 58.68]
[752, 337, 149];[52.93, 46.39, 56.27]
[732, 798, 392];[53.24, 67.98, 72.42]
[771, 106, 553];[96.72, 55.31, 41.49]
[261, 566, 758];[71.95, 38.03, 37.91]
[751, 331, 995];[78.56, 59.89, 61.38]
[335, 789, 801];[64.21, 75.67, 8.81]
[29, 60, 211];[29.59, 37.43, 42.51]
[972, 47, 223];[74.0, 65.8, 52.01]
[442, 55, 752];[50.45, 57.21, 56.04]
[782, 464, 215];[38.8, 48.14, 43.57]
[885, 748, 554];[61.39, 53.62, 68.2]
[771, 46, 37];[55.08, 50.37, 67.9]
[566, 301, 303];[40.53, 58.44, 44.81]
[787, 965, 556];[56.8, 54.6, 38.73]
[881, 291, 791];[64.77, 53.52, 38.11]
[66, 105, 880];[36.97, 73.58, 19.08]
[34, 946, 893];[88.01, 59.12, 69.82]
[84, 83, 703];[23.54, 49.46, 62.58]
[923, 17, 777];[35.99, 52.97, 33.15]
[794, 207, 884];[128.35, 16.89, 57.73]
[834, 882, 551];[67.07, 40.02, 78.13]
[604, 216, 950];[8.37, 45.8, 52.82]
[771, 2, 865];[62.65, 88.64, 63.74]
[799, 172, 235];[70.86, 59.55, 51.13]
[791, 156, 87];[40.98, 84.16, 14.52]
[435, 259, 105];[37.07, 30.72, 74.15]
[891, 971, 240];[91.05, 86.48, 50.72]
[868, 78, 312];[38.86, 42.94, 78.86]
[917, 303, 341];[19.97, 53.3, 49.98]
[836, 240, 65];[99.24, 47.5, 58.26]
[553, 604, 951];[49.77, 12.41, 42.34]
[100, 343, 363];[1.15, 58.54, 132.26]
[27, 405, 866];[17.86, 80.17, 74.9]
[871, 644, 48];[18.08, 77.27, 67.49]
[337, 577, 461];[57.05, 86.08, 115.42]
[37, 158, 705];[62.5, 86.37, 75.79]
[147, 87, 790];[37.0, 11.71, 19.04]
[425, 769, 766];[72.0, 65.4, 54.01]
[362, 603, 312];[52.1, 50.02, 69.38]
[286, 342, 329];[22.16, 70.49, 50.71]
[472, 945, 431];[65.92, 51.27, 50.43]
[870, 244, 343];[67.69, 49.46, 53.6]
[570, 442, 695];[39.91, 50.35, 43.19]
[427, 840, 329];[51.57, 14.59, 53.12]
[125, 826, 833];[53.95, 27.88, 58.73]
[166, 882, 763];[54.45, 41.87, 53.62]
[445, 951, 946];[57.78, 56.13, 67.69]
[476, 392, 948];[63.13, 55.19, 53.75]
[919, 437, 762];[65.1, 57.84, 80.58]
[778, 2, 881];[11.43, 89.68, 73.44]
[780, 331, 133];[86.19, 66.43, 19.64]
[551, 351, 882];[92.6, 77.34, 40.97]
[18, 841, 790];[54.39, 76.79, 19.07]
[782, 138, 867];[52.72, 24.39, 78.44]
[426, 777, 875];[41.23, 33.37, 50.66]
[769, 139, 133];[75.46, 73.25, 20.13]
[928, 551, 128];[45.06, 81.59, 89.71]
[553, 858, 215];[36.5, 56.15, 46.7]
[769, 752, 561];[65.63, 59.18, 77.85]
[464, 883, 945];[45.15, 62.1, 72.89]
[893, 46, 19];[76.98, 86.38, 85.11]
[921, 105, 883];[74.42, 84.36, 55.77]
[207, 771, 840];[20.47, 68.15, 26.52]
[316, 995, 451];[68.64, 56.85, 34.66]
[459, 790, 360];[95.1, 21.24, 85.86]
[160, 749, 135];[76.79, 86.12, 34.6]
[405, 836, 561];[84.73, 137.98, 81.67]
[782, 19, 27];[37.96, 80.0, 42.0]
[475, 766, 251];[13.88, 54.21, 65.69]
[343, 201, 351];[53.39, 50.59, 54.58]
[995, 919, 446];[53.19, 65.12, 67.47]
[329, 471, 133];[53.7, 23.17, 18.31]
[920, 211, 338];[50.67, 48.96, 39.89]
[425, 451, 26];[72.54, 34.6, 12.47]
