[476, 794, 142];[49.82, 129.93, 20.01]
[475, 533, 766];[19.76, 70.42, 54.07]
[928, 454, 970];[44.41, 16.14, 31.06]
[219, 951, 753];[26.78, 40.45, 35.67]
[220, 780, 131];[47.41, 83.34, 34.14]
[150, 9, 793];[20.87, 51.05, 38.73]
[7, 893, 67];[49.83, 73.46, 39.02]
[795, 66, 841];[39.98, 33.74, 70.39]
[876, 84, 931];[59.88, 18.13, 70.63]
[220, 836, 602];[42.99, 48.04, 51.33]
[942, 396, 418];[58.1, 51.56, 78.5]
[27, 212, 786];[39.03, 39.78, 65.08]
[728, 219, 945];[82.23, 28.49, 13.93]
[145, 244, 83];[57.01, 46.59, 48.51]
[58, 965, 11];[80.43, 54.81, 93.88]
[789, 894, 359];[75.62, 43.55, 42.41]
[100, 244, 165];[17.38, 44.23, 55.03]
[833, 781, 749];[83.38, 41.28, 67.44]
[705, 553, 146];[70.26, 45.74, 56.0]
[219, 158, 387];[32.1, 82.93, 44.01]
[868, 881, 135];[43.12, 62.27, 26.71]
[695, 454, 235];[59.71, 12.58, 50.49]
[447, 296, 876];[69.93, 81.9, 82.75]
[34, 26, 752];[81.41, 12.04, 78.44]
[402, 9, 227];[11.41, 42.11, 85.73]
[211, 786, 335];[67.39, 98.96, 59.18]
[235, 158, 138];[54.82, 70.45, 23.35]
[156, 387, 948];[78.57, 33.8, 96.78]
[426, 964, 782];[13.5, 61.94, 46.8]
[892, 732, 392];[67.17, 84.91, 45.96]
[291, 475, 873];[61.24, 20.01, 56.33]
[351, 776, 895];[67.93, 54.84, 50.2]
[403, 100, 387];[54.42, 12.59, 31.28]
[437, 83, 751];[52.74, 44.58, 59.97]
[569, 965, 100];[48.49, 66.75, 12.85]
[358, 942, 459];[51.24, 55.02, 45.09]
[695, 445, 425];[38.39, 57.66, 75.85]
[950, 471, 426];[39.99, 24.58, 18.1]
[19, 564, 125];[77.07, 82.45, 55.89]
[100, 929, 874];[12.68, 33.44, 49.14]
[38, 577, 645];[51.69, 58.52, 27.51]
[83, 369, 964];[43.75, 61.34, 51.72]
[891, 880, 603];[78.5, 18.38, 72.91]
[362, 227, 294];[57.63, 73.46, 85.43]
[436, 292, 797];[69.19, 13.04, 73.53]
[891, 360, 67];[73.98, 53.94, 40.3]
[435, 259, 841];[42.64, 42.65, 63.23]
[124, 603, 798];[72.11, 69.2, 74.12]
[32, 771, 22];[82.81, 111.01, 63.53]
[442, 791, 413];[18.52, 47.11, 50.04]
[564, 135, 763];[61.23, 31.42, 38.69]
[832, 149, 559];[36.2, 118.2, 66.09]
[412, 58, 435];[73.33, 56.05, 34.03]
[338, 875, 894];[30.28, 53.06, 33.71]
[875, 951, 29];[47.14, 44.03, 27.2]
[869, 158, 753];[57.67, 78.26, 25.34]
[970, 865, 110];[7.66, 56.72, 72.73]
[884, 73, 146];[63.76, 72.04, 60.67]
[351, 29, 179];[69.8, 25.5, 45.12]
[318, 970, 396];[74.04, -1.15, 61.81]
[755, 463, 273];[58.01, 53.71, 58.01]
[365, 426, 313];[32.21, 15.93, 57.86]
[602, 60, 754];[51.09, 31.57, 39.53]
[560, 339, 87];[39.39, 11.51, 22.62]
[928, 131, 751];[43.82, 23.85, 57.03]
[47, 923, 956];[66.78, 11.93, 55.73]
[831, 360, 320];[69.55, 47.58, 55.55]
[826, 882, 342];[24.54, 42.41, 70.05]
[929, 27, 23];[38.05, 48.87, 53.41]
[418, 942, 956];[73.52, 57.71, 66.05]
[131, 860, 873];[23.5, 50.57, 60.89]
[472, 359, 147];[69.73, 37.9, 46.88]
[295, 274, 113];[58.15, 53.5, 88.52]
[787, 783, 165];[58.04, 76.87, 57.24]
[147, 255, 781];[51.71, 53.25, 35.45]
[945, 223, 235];[22.7, 58.14, 47.58]
[560, 956, 124];[39.35, 69.25, 69.43]
[296, 110, 705];[76.95, 65.47, 74.22]
[26, 359, 921];[11.66, 38.76, 70.29]
[875, 312, 40];[46.11, 59.31, 86.84]
[860, 875, 17];[51.81, 45.02, 62.82]
[109, 48, 891];[71.74, 62.43, 62.08]
[73, 87, 695];[84.99, 21.01, 43.08]
[942, 140, 351];[61.74, 26.92, 70.01]
[131, 877, 883];[20.67, 44.68, 63.18]
[950, 951, 156];[48.53, 43.02, 80.13]
[559, 781, 421];[71.55, 41.95, 23.25]
[342, 463, 786];[64.69, 47.39, 46.39]
[884, 29, 881];[55.99, 28.1, 68.31]
[895, 358, 403];[45.77, 58.72, 47.39]
[893, 304, 327];[74.0, 26.0, 50.05]
[223, 128, 754];[56.36, 78.85, 39.42]
[67, 841, 801];[38.96, 69.89, 31.63]
[128, 29, 343];[79.87, 24.45, 57.69]
[373, 917, 950];[46.26, 34.72, 39.21]
[448, 948, 313];[71.31, 95.02, 58.9]
[763, 100, 769];[58.93, 17.47, 55.3]
[105, 831, 255];[67.13, 66.16, 54.2]
[341, 925, 47];[45.52, 69.46, 74.53]
[58, 792, 105];[87.53, 66.19, 61.54]
[65, 213, 27];[49.18, 41.19, 59.18]
[396, 235, 316];[58.78, 51.76, 46.66]
[970, 89, 711];[25.95, 5.27, -5.98]
[252, 9, 29];[59.74, 55.26, 26.77]
[730, 603, 312];[47.52, 56.84, 70.58]
[27, 907, 727];[46.6, 10.51, 88.7]
[179, 464, 885];[64.29, 43.31, 52.75]
[327, 475, 84];[50.48, 4.03, 27.09]
[870, 255, 777];[78.25, 63.48, 12.58]
[358, 834, 762];[51.44, 85.55, 84.54]
[703, 303, 448];[54.97, 45.11, 77.04]
[37, 331, 948];[73.6, 52.31, 123.48]
[566, 240, 705];[35.61, 55.62, 59.32]
[971, 313, 253];[80.86, 67.63, 72.76]
[27, 329, 446];[45.85, 72.9, 41.19]
[951, 273, 919];[40.06, 88.85, 68.47]
