[36, 118, 871];[54.0, 37.92, 28.0]
[359, 868, 372];[42.3, 38.86, 65.47]
[826, 374, 727];[26.28, 69.44, 80.85]
[602, 17, 66];[55.92, 61.21, 33.29]
[359, 19, 273];[43.67, 70.6, 67.14]
[749, 919, 301];[68.82, 66.92, 61.91]
[929, 995, 907];[35.52, 52.46, 39.68]
[23, 124, 273];[52.95, 67.48, 67.04]
[894, 792, 149];[50.11, 67.79, 101.84]
[728, 17, 435];[72.35, 46.74, 40.86]
[295, 235, 788];[60.27, 47.66, 44.94]
[867, 109, 294];[10.09, 74.14, 86.31]
[554, 156, 791];[64.65, 79.81, 45.26]
[178, 570, 891];[66.43, 43.8, 69.92]
[146, 369, 799];[51.91, 63.21, 68.6]
[138, 240, 358];[25.68, 64.19, 57.88]
[159, 445, 149];[71.39, 55.59, 94.67]
[413, 928, 83];[57.88, 36.27, 50.32]
[165, 884, 35];[81.97, 57.13, 80.92]
[396, 22, 201];[58.56, 58.38, 84.58]
[165, 23, 334];[75.4, 54.12, 36.85]
[873, 212, 832];[58.36, 36.23, 52.18]
[469, 893, 732];[13.2, 66.63, 55.03]
[273, 110, 463];[70.64, 79.34, 35.68]
[947, 976, 703];[85.96, 29.37, 64.24]
[35, 945, 276];[80.6, 15.82, 27.94]
[359, 464, 21];[49.95, 31.09, 75.5]
[116, 77, 254];[44.97, 92.26, 68.12]
[6, 841, 36];[79.94, 52.92, 31.72]
[60, 425, 65];[26.88, 65.3, 14.27]
[312, 100, 775];[61.41, 12.03, 44.0]
[472, 418, 17];[66.56, 67.33, 62.3]
[223, 249, 158];[58.61, 51.55, 56.18]
[125, 958, 140];[56.87, 44.66, 21.47]
[869, 91, 789];[49.41, 79.31, 79.99]
[89, 329, 840];[16.13, 72.01, 22.35]
[958, 919, 28];[46.44, 63.72, 35.96]
[796, 754, 892];[64.07, 40.04, 85.34]
[337, 925, 957];[63.69, 51.6, 85.19]
[870, 949, 918];[68.0, 38.19, 33.58]
[334, 7, 730];[38.33, 49.63, 45.16]
[7, 976, 843];[47.03, 44.55, 68.8]
[567, 800, 279];[71.77, 59.68, 74.83]
[892, 781, 207];[85.0, 37.77, 10.1]
[869, 914, 753];[48.7, 49.02, 36.83]
